ox,oy,dx,dy,distance,time
105.427217,27.789296,104.947217,27.309296,202867,16265
105.427217,27.789296,104.947217,27.329296,199445,20212
105.427217,27.789296,104.947217,27.349296,209342,17204
105.427217,27.789296,104.947217,27.369296,201705,16047
105.427217,27.789296,104.947217,27.389296,209153,17513
105.427217,27.789296,104.947217,27.409296,204963,16071
105.427217,27.789296,104.947217,27.429296,202728,15838
105.427217,27.789296,104.947217,27.449296,98631,11270
105.427217,27.789296,104.947217,27.469296,95653,10930
105.427217,27.789296,104.947217,27.489296,92431,10465
105.427217,27.789296,104.947217,27.509296,93356,10992
105.427217,27.789296,104.947217,27.529296,99368,14000
105.427217,27.789296,104.947217,27.549296,133564,15821
105.427217,27.789296,104.947217,27.569296,129125,12637
105.427217,27.789296,104.947217,27.589296,93887,11853
105.427217,27.789296,104.947217,27.609296,127065,11900
105.427217,27.789296,104.947217,27.629296,87807,10243
105.427217,27.789296,104.947217,27.649296,89367,10372
105.427217,27.789296,104.947217,27.669296,85821,9888
105.427217,27.789296,104.947217,27.689296,86561,9969
105.427217,27.789296,104.947217,27.709296,91341,9250
105.427217,27.789296,104.947217,27.729296,87197,8671
105.427217,27.789296,104.947217,27.749296,85073,8405
105.427217,27.789296,104.947217,27.769296,83807,8257
105.427217,27.789296,104.947217,27.789296,78541,7445
105.427217,27.789296,104.947217,27.809296,82328,7966
105.427217,27.789296,104.947217,27.829296,79866,8457
105.427217,27.789296,104.947217,27.849296,78187,10082
105.427217,27.789296,104.947217,27.869296,98651,10457
105.427217,27.789296,104.947217,27.889296,101344,9037
105.427217,27.789296,104.947217,27.909296,103432,9132
105.427217,27.789296,104.947217,27.929296,109018,9873
105.427217,27.789296,104.947217,27.949296,98646,10897
105.427217,27.789296,104.947217,27.969296,94819,10556
105.427217,27.789296,104.947217,27.989296,105142,10567
105.427217,27.789296,104.947217,28.009296,108403,10785
105.427217,27.789296,104.947217,28.029296,107218,10650
105.427217,27.789296,104.947217,28.049296,112434,11254
105.427217,27.789296,104.947217,28.069296,169150,13450
105.427217,27.789296,104.947217,28.089296,166014,13106
105.427217,27.789296,104.947217,28.109296,162830,12656
105.427217,27.789296,104.947217,28.129296,160097,12366
105.427217,27.789296,104.947217,28.149296,162573,12697
105.427217,27.789296,104.947217,28.169296,163946,12798
105.427217,27.789296,104.947217,28.189296,177936,13490
105.427217,27.789296,104.947217,28.209296,169002,12207
105.427217,27.789296,104.947217,28.229296,167223,11803
105.427217,27.789296,104.947217,28.249296,157860,11235
105.427217,27.789296,104.947217,28.269296,156430,11126
105.427217,27.789296,104.947217,28.289296,151550,10511
105.427217,27.789296,104.967217,27.309296,203671,16629
105.427217,27.789296,104.967217,27.329296,202214,16213
105.427217,27.789296,104.967217,27.349296,195861,17414
105.427217,27.789296,104.967217,27.369296,197649,15803
105.427217,27.789296,104.967217,27.389296,196554,15239
105.427217,27.789296,104.967217,27.409296,198803,15478
105.427217,27.789296,104.967217,27.429296,201860,15743
105.427217,27.789296,104.967217,27.449296,96064,10640
105.427217,27.789296,104.967217,27.469296,94327,10761
105.427217,27.789296,104.967217,27.489296,88097,9929
105.427217,27.789296,104.967217,27.509296,95852,12944
105.427217,27.789296,104.967217,27.529296,95657,12035
105.427217,27.789296,104.967217,27.549296,94120,11498
