ox,oy,dx,dy,distance,time
114.075031,32.123274,113.795031,31.843274,62695,5763
114.075031,32.123274,113.795031,31.863274,77963,6444
114.075031,32.123274,113.795031,31.883274,68078,6816
114.075031,32.123274,113.795031,31.903274,64151,6288
114.075031,32.123274,113.795031,31.923274,67466,6775
114.075031,32.123274,113.795031,31.943274,67286,6791
114.075031,32.123274,113.795031,31.963274,61298,5903
114.075031,32.123274,113.795031,31.983274,57980,5541
114.075031,32.123274,113.795031,32.003274,57607,5513
114.075031,32.123274,113.795031,32.023274,48462,4938
114.075031,32.123274,113.795031,32.043274,46805,4598
114.075031,32.123274,113.795031,32.063274,43163,3847
114.075031,32.123274,113.795031,32.083274,39557,3509
114.075031,32.123274,113.795031,32.103274,37698,3274
114.075031,32.123274,113.795031,32.123274,34945,3105
114.075031,32.123274,113.795031,32.143274,32891,2957
114.075031,32.123274,113.795031,32.163274,34483,3182
114.075031,32.123274,113.795031,32.183274,39634,4432
114.075031,32.123274,113.795031,32.203274,38220,3575
114.075031,32.123274,113.795031,32.223274,41730,3486
114.075031,32.123274,113.795031,32.243274,41571,3363
114.075031,32.123274,113.795031,32.263274,37571,2952
114.075031,32.123274,113.795031,32.283274,37181,2926
114.075031,32.123274,113.795031,32.303274,37610,3344
114.075031,32.123274,113.795031,32.323274,42563,3888
114.075031,32.123274,113.795031,32.343274,43617,3995
114.075031,32.123274,113.795031,32.363274,48287,4512
114.075031,32.123274,113.795031,32.383274,48923,4655
114.075031,32.123274,113.795031,32.403274,50952,4872
114.075031,32.123274,113.795031,32.423274,53506,5210
114.075031,32.123274,113.815031,31.843274,62695,5762
114.075031,32.123274,113.815031,31.863274,69000,7004
114.075031,32.123274,113.815031,31.883274,68738,6934
114.075031,32.123274,113.815031,31.903274,65310,6488
114.075031,32.123274,113.815031,31.923274,60859,5844
114.075031,32.123274,113.815031,31.943274,59278,5757
114.075031,32.123274,113.815031,31.963274,63423,6115
114.075031,32.123274,113.815031,31.983274,62194,5985
114.075031,32.123274,113.815031,32.003274,54802,5156
114.075031,32.123274,113.815031,32.023274,50592,5486
114.075031,32.123274,113.815031,32.043274,47729,4634
114.075031,32.123274,113.815031,32.063274,44882,4113
114.075031,32.123274,113.815031,32.083274,43411,4046
114.075031,32.123274,113.815031,32.103274,40286,3551
114.075031,32.123274,113.815031,32.123274,34010,4026
114.075031,32.123274,113.815031,32.143274,31296,2883
114.075031,32.123274,113.815031,32.163274,34051,3303
114.075031,32.123274,113.815031,32.183274,36924,3736
114.075031,32.123274,113.815031,32.203274,36433,3487
114.075031,32.123274,113.815031,32.223274,40449,3214
114.075031,32.123274,113.815031,32.243274,38781,2997
114.075031,32.123274,113.815031,32.263274,35661,2864
114.075031,32.123274,113.815031,32.283274,34535,2726
114.075031,32.123274,113.815031,32.303274,35532,3021
114.075031,32.123274,113.815031,32.323274,44433,4140
114.075031,32.123274,113.815031,32.343274,51898,4883
114.075031,32.123274,113.815031,32.363274,50468,4687
114.075031,32.123274,113.815031,32.383274,50840,4694
114.075031,32.123274,113.815031,32.403274,52245,4918
114.075031,32.123274,113.815031,32.423274,56228,5514
114.075031,32.123274,113.835031,31.843274,55448,5444
114.075031,32.123274,113.835031,31.863274,53604,4932
114.075031,32.123274,113.835031,31.883274,52431,5235
114.075031,32.123274,113.835031,31.903274,66315,6675
114.075031,32.123274,113.835031,31.923274,59115,5580
114.075031,32.123274,113.835031,31.943274,57324,5291
114.075031,32.123274,113.835031,31.963274,55645,5273
114.075031,32.123274,113.835031,31.983274,52536,4723
114.075031,32.123274,113.835031,32.003274,51903,5128
114.075031,32.123274,113.835031,32.023274,51491,4706
114.075031,32.123274,113.835031,32.043274,42299,4132
114.075031,32.123274,113.835031,32.063274,39792,3821
114.075031,32.123274,113.835031,32.083274,42230,4016
114.075031,32.123274,113.835031,32.103274,44369,4528
114.075031,32.123274,113.835031,32.123274,32487,3025
114.075031,32.123274,113.835031,32.143274,29598,2836
114.075031,32.123274,113.835031,32.163274,29043,2600
