lng,lat,distance,time
104.944560559,27.3128347535,202867,16265
104.94455968,27.3328309912,199445,20212
104.944558799,27.3528275017,209342,17204
104.944557918,27.3728242992,201705,16047
104.944557037,27.392821396,209153,17513
104.944556155,27.4128188029,204963,16071
104.944555272,27.4328165288,202728,15838
104.944554388,27.452814581,98631,11270
104.944553504,27.4728129649,95653,10930
104.94455262,27.4928116842,92431,10465
104.944551734,27.5128107409,93356,10992
104.944550848,27.5328101348,99368,14000
104.944549961,27.5528098642,133564,15821
104.944549074,27.5728099254,129125,12637
104.944548186,27.5928103131,93887,11853
104.944547298,27.61281102,127065,11900
104.944546408,27.6328120372,87807,10243
104.944545518,27.6528133539,89367,10372
104.944544628,27.6728149579,85821,9888
104.944543737,27.692816835,86561,9969
104.944542845,27.7128189699,91341,9250
104.944541952,27.7328213454,87197,8671
104.944541059,27.7528239429,85073,8405
104.944540165,27.7728267428,83807,8257
104.944539271,27.7928297238,78541,7445
104.944538376,27.8128328636,82328,7966
104.94453748,27.8328361387,79866,8457
104.944536583,27.8528395247,78187,10082
104.944535686,27.8728429962,98651,10457
104.944534788,27.8928465271,101344,9037
104.94453389,27.9128500904,103432,9132
104.944532991,27.9328536587,109018,9873
104.944532091,27.9528572041,98646,10897
104.944531191,27.9728606981,94819,10556
104.94453029,27.9928641122,105142,10567
104.944529388,28.0128674177,108403,10785
104.944528486,28.0328705858,107218,10650
104.944527583,28.052873588,112434,11254
104.944526679,28.0728763956,169150,13450
104.944525775,28.0928789807,166014,13106
104.94452487,28.1128813155,162830,12656
104.944523964,28.132883373,160097,12366
104.944523058,28.1528851268,162573,12697
104.944522151,28.1728865511,163946,12798
104.944521243,28.1928876211,177936,13490
104.944520335,28.2128883132,169002,12207
104.944519426,28.2328886045,167223,11803
104.944518516,28.2528884736,157860,11235
104.944517606,28.2728879002,156430,11126
104.944516695,28.2928868655,151550,10511
104.964485774,27.3127888432,203671,16629
104.964484881,27.3327850807,202214,16213
104.964483987,27.352781591,195861,17414
104.964483092,27.3727783883,197649,15803
104.964482197,27.3927754849,196554,15239
104.964481301,27.4127728915,198803,15478
104.964480404,27.4327706171,201860,15743
104.964479507,27.4527686691,96064,10640
104.964478609,27.4727670528,94327,10761
104.96447771,27.4927657719,88097,9929
104.96447681,27.5127648283,95852,12944
104.96447591,27.532764222,95657,12035
104.96447501,27.5527639512,94120,11498
104.964474109,27.5727640122,93246,11370
104.964473207,27.5927643997,93165,10663
104.964472304,27.6127651063,90175,10404
104.964471401,27.6327661233,87219,10002
104.964470497,27.6527674398,85160,9702
104.964469592,27.6727690435,84137,9628
104.964468687,27.6927709204,82222,9280
104.964467781,27.712773055,82721,9389
104.964466874,27.7327754303,89088,8928
104.964465967,27.7527780277,87047,8552
104.964465059,27.7727808273,86550,8730
104.96446415,27.792783808,76812,7375
104.964463241,27.8127869476,76942,7318
104.964462331,27.8327902225,77853,7925
104.96446142,27.8527936083,79151,11202
104.964460509,27.8727970796,81240,8251
104.964459597,27.8928006102,95395,10061
104.964458684,27.9128041733,97688,10443
104.964457771,27.9328077414,98545,10376
104.964456857,27.9528112865,93806,10370
104.964455943,27.9728147803,97466,11090
104.964455027,27.9928181942,104048,10445
104.964454111,28.0128214995,104498,10397
104.964453195,28.0328246674,104548,10387
104.964452277,28.0528276692,114435,11463
104.964451359,28.0728304767,118398,12033
104.96445044,28.0928330615,168558,13432
104.964449521,28.1128353961,165395,12827
104.964448601,28.1328374534,160235,12366
104.96444768,28.1528392069,157684,12014
104.964446759,28.172840631,162625,12721
104.964445837,28.1928417008,166897,13211
104.964444914,28.2128423926,163456,11498
104.96444399,28.2328426838,161877,11726
104.964443066,28.2528425526,164525,11577
104.964442142,28.272841979,158082,11629
104.964441216,28.292840944,149843,10142
104.984399554,27.3127327889,203653,16375
104.984398645,27.3327290261,192075,14775
104.984397735,27.3527255362,195006,15129
104.984396824,27.3727223333,197267,15669
104.984395913,27.3927194297,195649,15631
104.984395001,27.4127168361,198651,15522
104.984394088,27.4327145616,200589,15737
104.984393175,27.4527126133,203881,16017
104.984392261,27.4727109968,91074,10339
104.984391346,27.4927097158,85546,9698
104.984390431,27.5127087719,96525,13625
104.984389515,27.5327081654,88009,10460
104.984388598,27.5527078944,90603,10839
104.984387681,27.5727079552,91218,11815
104.984386763,27.5927083425,93793,10547
104.984385844,27.612709049,91689,10541
104.984384924,27.6327100657,91298,10274
104.984384004,27.652711382,83578,9527
104.984383084,27.6727129855,80781,9118
104.984382162,27.6927148623,79233,8862
104.98438124,27.7127169967,93911,9524
104.984380317,27.7327193717,90819,9454
104.984379394,27.7527219689,88912,8935
104.984378469,27.7727247683,89717,9062
104.984377545,27.7927277489,76244,7706
104.984376619,27.8127308882,73540,7091
104.984375693,27.8327341629,73718,7395
104.984374766,27.8527375485,76450,7471
104.984373838,27.8727410196,85630,10747
104.98437291,27.8927445501,87885,8930
104.984371981,27.912748113,94523,9912
104.984371051,27.9327516808,99685,10799
104.984370121,27.9527552258,94018,10399
104.98436919,27.9727587193,92186,10178
104.984368258,27.992762133,98798,10044
104.984367326,28.0127654381,98618,9979
104.984366393,28.0327686058,103680,10737
104.984365459,28.0527716075,111581,10987
104.984364524,28.0727744147,174371,14070
104.984363589,28.0927769994,170932,13907
104.984362653,28.1127793338,167971,13070
104.984361717,28.1327813909,155964,11954
104.984360779,28.1527831442,156992,11992
104.984359841,28.1727845681,166143,13157
104.984358903,28.1927856377,163317,11685
104.984357963,28.2127863293,160731,11269
104.984357023,28.2327866203,161966,11349
104.984356082,28.2527864889,161387,11387
104.984355141,28.2727859151,142185,9628
104.984354199,28.2927848799,146034,9390
105.004308585,27.3126724776,193001,14842
105.004307659,27.3326687146,189909,14543
105.004306732,27.3526652246,190222,14678
105.004305805,27.3726620215,189741,14682
105.004304876,27.3926591177,193428,15193
105.004303948,27.4126565239,91773,10865
105.004303018,27.4326542492,203226,16183
105.004302088,27.4526523007,204259,16041
105.004301157,27.472650684,92865,11020
105.004300226,27.4926494028,87221,9805
105.004299293,27.5126484588,82385,9405
105.00429836,27.5326478521,86100,10231
105.004297427,27.5526475809,87615,10428
105.004296493,27.5726476415,87960,11163
105.004295558,27.5926480286,92118,10328
105.004294622,27.6126487349,86632,9067
105.004293685,27.6326497514,87130,9968
105.004292748,27.6526510675,86325,9163
105.004291811,27.6726526708,78748,8943
105.004290872,27.6926545474,76830,8662
105.004289933,27.7126566816,80198,9076
105.004288993,27.7326590565,85768,8582
105.004288052,27.7526616535,87699,8820
105.004287111,27.7726644527,79814,8134
105.004286169,27.7926674331,73455,7079
105.004285226,27.8126705723,71492,6905
105.004284283,27.8326738468,70208,8260
105.004283339,27.8526772322,78773,10143
105.004282394,27.8726807031,86037,8715
105.004281449,27.8926842333,88554,8988
105.004280502,27.912687796,86834,8861
105.004279556,27.9326913638,88937,9047
105.004278608,27.9526949085,87365,9072
105.00427766,27.9726984019,98446,9927
105.004276711,27.9927018154,92139,9076
105.004275761,28.0127051203,98159,9646
105.00427481,28.0327082878,103767,10264
105.004273859,28.0527112893,107866,10647
105.004272907,28.0727140964,179252,14741
105.004271955,28.0927166808,173053,14289
105.004271001,28.1127190151,170722,13774
105.004270047,28.132721072,170092,13402
